protocol,k,flows_count,mean_flow_throughput_mbps,total_goodput_mbps,run
tcp,k=1,100,1.6627359980000003,166.27359980000003,/workspaces/FROGalgorithm-worktree/papier2/ns3_experiments/traffic_matrix_load/runs/run_loaded_tm_pairing_10_Mbps_for_120s_with_tcp_algorithm_free_one_only_over_isls
tcp,k=3,100,1.7222813959999999,172.2281396,/workspaces/FROGalgorithm-worktree/papier2/ns3_experiments/traffic_matrix_load/runs/run_loaded_tm_pairing_10_Mbps_for_120s_with_tcp_algorithm_free_one_only_over_isls3
tcp,k=5,100,1.756977475333334,175.6977475333334,/workspaces/FROGalgorithm-worktree/papier2/ns3_experiments/traffic_matrix_load/runs/run_loaded_tm_pairing_10_Mbps_for_120s_with_tcp_algorithm_free_one_only_over_isls5
