k,runs_count,mean_flow_throughput_mbps,mean_total_goodput_mbps,paper_table_throughput_mbps,delta_vs_paper_abs_mbps,delta_vs_paper_pct
k=1,1,1.6627359980000003,166.27359980000003,2.47,-0.8072640019999999,-32.6827531174089
k=3,1,1.7222813959999999,172.2281396,2.65,-0.9277186040000001,-35.00824920754717
k=5,1,1.756977475333334,175.6977475333334,2.92,-1.163022524666666,-39.82953851598171
